codCliente,codPoliza,Ramo,Y,Salud,Vida,Autos,Cumplimiento,Patrimoniales,Otros
37,69,Vida,Autos,0,1,0,0,0,0
37,80568,Autos,Salud,0,1,1,0,0,0
84,118023,Autos,Vida,0,0,1,0,0,0
87,54,Vida,Salud,0,1,0,0,0,0
1356,206,Cumplimiento,Patrimoniales,0,0,0,1,0,0
1356,4695,Patrimoniales,Salud,0,0,0,1,1,0
1366,118014,Patrimoniales,Cumplimiento,0,0,0,0,1,0
1374,214,Cumplimiento,Salud,0,0,0,1,0,0
1380,15380,Autos,Patrimoniales,0,0,1,0,0,0
1380,253,Patrimoniales,Salud,0,0,1,0,1,0
1387,199,Autos,Salud,0,0,1,0,0,0
1394,347,Autos,Salud,0,0,1,0,0,0
1403,118012,Patrimoniales,Salud,0,0,0,0,1,0
1403,283,Salud,Vida,1,0,0,0,1,0
1411,84679,Cumplimiento,Salud,0,0,0,1,0,0
1424,19890,Autos,Salud,0,0,1,0,0,0
1439,195,Autos,Patrimoniales,0,0,1,0,0,0
1466,726,Cumplimiento,Patrimoniales,0,0,0,1,0,0
1476,1369,Vida,Salud,0,1,0,0,0,0
1480,733,Cumplimiento,Patrimoniales,0,0,0,1,0,0
1480,97518,Patrimoniales,Vida,0,0,0,1,1,0
1500,2213,Vida,Salud,0,1,0,0,0,0
1501,1886,Vida,Autos,0,1,0,0,0,0
1502,496,Autos,Salud,0,0,1,0,0,0
1504,712,Cumplimiento,Patrimoniales,0,0,0,1,0,0
1506,806,Cumplimiento,Vida,0,0,0,1,0,0
1508,808,Cumplimiento,Vida,0,0,0,1,0,0
1508,2575,Vida,Patrimoniales,0,1,0,1,0,0
1509,1397,Vida,Patrimoniales,0,1,0,0,0,0
1510,2705,Cumplimiento,Patrimoniales,0,0,0,1,0,0
1513,745,Cumplimiento,Patrimoniales,0,0,0,1,0,0
1513,2728,Patrimoniales,Autos,0,0,0,1,1,0
1513,16298,Autos,Vida,0,0,1,1,1,0
1522,708,Cumplimiento,Patrimoniales,0,0,0,1,0,0
1524,1764,Vida,Cumplimiento,0,1,0,0,0,0
1524,11383,Cumplimiento,Patrimoniales,0,1,0,1,0,0
1527,1967,Vida,Patrimoniales,0,1,0,0,0,0
1530,789,Cumplimiento,Vida,0,0,0,1,0,0
1530,26694,Vida,Patrimoniales,0,1,0,1,0,0
1533,7619,Cumplimiento,Vida,0,0,0,1,0,0
1533,2010,Vida,Autos,0,1,0,1,0,0
1533,59491,Autos,Patrimoniales,0,1,1,1,0,0
1535,1379,Vida,Salud,0,1,0,0,0,0
1535,1354,Salud,Patrimoniales,1,1,0,0,0,0
1538,738,Cumplimiento,Patrimoniales,0,0,0,1,0,0
1538,100642,Patrimoniales,Autos,0,0,0,1,1,0
1542,540,Autos,Patrimoniales,0,0,1,0,0,0
1542,1021,Patrimoniales,Salud,0,0,1,0,1,0
1542,1288,Salud,Cumplimiento,1,0,1,0,1,0
1545,1365,Vida,Salud,0,1,0,0,0,0
1545,1350,Salud,Autos,1,1,0,0,0,0
1545,416,Autos,Patrimoniales,1,1,1,0,0,0
1546,1372,Vida,Salud,0,1,0,0,0,0
1546,1280,Salud,Patrimoniales,1,1,0,0,0,0
1550,758,Cumplimiento,Patrimoniales,0,0,0,1,0,0
1550,2650,Patrimoniales,Vida,0,0,0,1,1,0
1552,197043,Autos,Vida,0,0,1,0,0,0
1552,1935,Vida,Salud,0,1,1,0,0,0
1556,788,Cumplimiento,Autos,0,0,0,1,0,0
1556,469,Autos,Patrimoniales,0,0,1,1,0,0
1556,1012,Patrimoniales,Vida,0,0,1,1,1,0
1559,810,Cumplimiento,Vida,0,0,0,1,0,0
1561,687,Cumplimiento,Vida,0,0,0,1,0,0
1561,1756,Vida,Salud,0,1,0,1,0,0
1561,1295,Salud,Patrimoniales,1,1,0,1,0,0
1562,723,Cumplimiento,Autos,0,0,0,1,0,0
1563,2084,Vida,Salud,0,1,0,0,0,0
1566,1087,Patrimoniales,Autos,0,0,0,0,1,0
1572,755,Cumplimiento,Patrimoniales,0,0,0,1,0,0
1579,2027,Vida,Patrimoniales,0,1,0,0,0,0
1579,1017,Patrimoniales,Autos,0,1,0,0,1,0
1584,1131,Patrimoniales,Vida,0,0,0,0,1,0
1584,1435,Vida,Salud,0,1,0,0,1,0
1587,1112,Patrimoniales,Salud,0,0,0,0,1,0
1587,26670,Salud,Autos,1,0,0,0,1,0
1587,2451,Autos,Vida,1,0,1,0,1,0
1615,1377,Salud,Patrimoniales,1,0,0,0,0,0
1617,29461,Vida,Patrimoniales,0,1,0,0,0,0
1621,1302,Salud,Autos,1,0,0,0,0,0
1630,1220,Salud,Autos,1,0,0,0,0,0
1638,2207,Vida,Autos,0,1,0,0,0,0
1643,1355,Vida,Salud,0,1,0,0,0,0
1661,2524,Salud,Vida,1,0,0,0,0,0
1663,1680,Vida,Autos,0,1,0,0,0,0
1663,373,Autos,Salud,0,1,1,0,0,0
1679,1832,Vida,Autos,0,1,0,0,0,0
1694,1812,Vida,Salud,0,1,0,0,0,0
1698,2610,Salud,Vida,1,0,0,0,0,0
1700,2390,Salud,Vida,1,0,0,0,0,0
1701,2049,Vida,Salud,0,1,0,0,0,0
1711,1383,Vida,Autos,0,1,0,0,0,0
1711,18186,Autos,Salud,0,1,1,0,0,0
1718,1509,Vida,Salud,0,1,0,0,0,0
1727,1797,Vida,Salud,0,1,0,0,0,0
1730,1356,Vida,Salud,0,1,0,0,0,0
1732,513,Autos,Vida,0,0,1,0,0,0
1747,2119,Vida,Patrimoniales,0,1,0,0,0,0
1764,1802,Vida,Salud,0,1,0,0,0,0
1768,1848,Vida,Salud,0,1,0,0,0,0
1777,2103,Vida,Autos,0,1,0,0,0,0
1777,59029,Autos,Patrimoniales,0,1,1,0,0,0
1787,2266,Vida,Autos,0,1,0,0,0,0
1787,466,Autos,Salud,0,1,1,0,0,0
1788,1610,Vida,Autos,0,1,0,0,0,0
1790,139443,Vida,Salud,0,1,0,0,0,0
1792,670,Cumplimiento,Patrimoniales,0,0,0,1,0,0
1792,28578,Patrimoniales,Vida,0,0,0,1,1,0
1814,2417,Salud,Vida,1,0,0,0,0,0
1864,4713,Patrimoniales,Vida,0,0,0,0,1,0
1881,1466,Vida,Autos,0,1,0,0,0,0
1883,1614,Vida,Patrimoniales,0,1,0,0,0,0
1884,1016,Patrimoniales,Salud,0,0,0,0,1,0
1886,1618,Vida,Salud,0,1,0,0,0,0
1887,2093,Vida,Salud,0,1,0,0,0,0
1903,2608,Salud,Vida,1,0,0,0,0,0
1912,1315,Salud,Vida,1,0,0,0,0,0
1918,1084,Patrimoniales,Salud,0,0,0,0,1,0
1922,2249,Vida,Patrimoniales,0,1,0,0,0,0
1922,1119,Patrimoniales,Salud,0,1,0,0,1,0
1924,1136,Patrimoniales,Salud,0,0,0,0,1,0
1925,2723,Patrimoniales,Salud,0,0,0,0,1,0
1945,1577,Vida,Patrimoniales,0,1,0,0,0,0
1948,552,Autos,Salud,0,0,1,0,0,0
1954,746,Cumplimiento,Vida,0,0,0,1,0,0
1954,1585,Vida,Autos,0,1,0,1,0,0
1960,1587,Vida,Patrimoniales,0,1,0,0,0,0
1960,985,Patrimoniales,Autos,0,1,0,0,1,0
1960,407,Autos,Salud,0,1,1,0,1,0
1963,1588,Vida,Patrimoniales,0,1,0,0,0,0
1964,2098,Vida,Autos,0,1,0,0,0,0
1965,1419,Vida,Salud,0,1,0,0,0,0
1966,90633,Cumplimiento,Patrimoniales,0,0,0,1,0,0
1968,1578,Vida,Autos,0,1,0,0,0,0
1973,2584,Vida,Salud,0,1,0,0,0,0
1976,1039,Patrimoniales,Salud,0,0,0,0,1,0
1977,1476,Vida,Autos,0,1,0,0,0,0
1983,1640,Vida,Salud,0,1,0,0,0,0
1984,1223,Salud,Vida,1,0,0,0,0,0
1992,471,Autos,Salud,0,0,1,0,0,0
1997,597,Autos,Vida,0,0,1,0,0,0
2000,2306,Vida,Autos,0,1,0,0,0,0
2000,478,Autos,Salud,0,1,1,0,0,0
2002,1763,Vida,Autos,0,1,0,0,0,0
2002,553,Autos,Salud,0,1,1,0,0,0
2003,86577,Vida,Autos,0,1,0,0,0,0
2004,1467,Vida,Salud,0,1,0,0,0,0
2007,2047,Vida,Autos,0,1,0,0,0,0
2009,492,Autos,Vida,0,0,1,0,0,0
2022,1722,Vida,Salud,0,1,0,0,0,0
2025,2260,Vida,Salud,0,1,0,0,0,0
2026,1711,Vida,Salud,0,1,0,0,0,0
2026,2405,Salud,Autos,1,1,0,0,0,0
2041,867,Cumplimiento,Vida,0,0,0,1,0,0
2041,2251,Vida,Patrimoniales,0,1,0,1,0,0
2049,1757,Vida,Salud,0,1,0,0,0,0
2055,2111,Vida,Patrimoniales,0,1,0,0,0,0
2059,15406,Salud,Cumplimiento,1,0,0,0,0,0
2059,906,Cumplimiento,Vida,1,0,0,1,0,0
2061,2503,Salud,Vida,1,0,0,0,0,0
2062,184004,Autos,Vida,0,0,1,0,0,0
2066,22706,Salud,Cumplimiento,1,0,0,0,0,0
2069,1304,Salud,Patrimoniales,1,0,0,0,0,0
2074,1305,Salud,Vida,1,0,0,0,0,0
2079,1351,Salud,Autos,1,0,0,0,0,0
2087,2061,Vida,Salud,0,1,0,0,0,0
2103,2279,Vida,Salud,0,1,0,0,0,0
2106,1484,Vida,Salud,0,1,0,0,0,0
2108,1625,Vida,Autos,0,1,0,0,0,0
2112,1042,Patrimoniales,Salud,0,0,0,0,1,0
2114,1234,Salud,Vida,1,0,0,0,0,0
2121,1676,Vida,Autos,0,1,0,0,0,0
2121,398,Autos,Salud,0,1,1,0,0,0
2124,2730,Salud,Patrimoniales,1,0,0,0,0,0
2133,14900,Autos,Vida,0,0,1,0,0,0
2133,1734,Vida,Salud,0,1,1,0,0,0
2141,1769,Vida,Autos,0,1,0,0,0,0
2148,1495,Vida,Patrimoniales,0,1,0,0,0,0
2177,1497,Vida,Salud,0,1,0,0,0,0
2197,1590,Vida,Salud,0,1,0,0,0,0
2200,2369,Salud,Vida,1,0,0,0,0,0
2217,1683,Vida,Salud,0,1,0,0,0,0
2250,19128,Vida,Patrimoniales,0,1,0,0,0,0
2250,1118,Patrimoniales,Salud,0,1,0,0,1,0
2264,1534,Vida,Salud,0,1,0,0,0,0
2264,2541,Salud,Autos,1,1,0,0,0,0
2272,2292,Vida,Salud,0,1,0,0,0,0
2272,1312,Salud,Patrimoniales,1,1,0,0,0,0
2272,1029,Patrimoniales,Autos,1,1,0,0,1,0
2278,1651,Vida,Salud,0,1,0,0,0,0
2278,1222,Salud,Autos,1,1,0,0,0,0
2292,1368,Vida,Salud,0,1,0,0,0,0
2293,1649,Vida,Patrimoniales,0,1,0,0,0,0
2294,1960,Vida,Salud,0,1,0,0,0,0
2297,1630,Vida,Salud,0,1,0,0,0,0
2303,1853,Vida,Autos,0,1,0,0,0,0
2308,1475,Vida,Cumplimiento,0,1,0,0,0,0
2313,19914,Vida,Salud,0,1,0,0,0,0
2317,2526,Salud,Vida,1,0,0,0,0,0
2327,209158,Salud,Vida,1,0,0,0,0,0
2329,913,Cumplimiento,Vida,0,0,0,1,0,0
2330,1662,Vida,Autos,0,1,0,0,0,0
2340,1846,Vida,Autos,0,1,0,0,0,0
2344,1790,Vida,Autos,0,1,0,0,0,0
2348,2531,Salud,Vida,1,0,0,0,0,0
2351,7746,Autos,Vida,0,0,1,0,0,0
2358,982,Patrimoniales,Vida,0,0,0,0,1,0
2358,1696,Vida,Autos,0,1,0,0,1,0
2359,29042,Autos,Vida,0,0,1,0,0,0
2367,185488,Salud,Vida,1,0,0,0,0,0
2377,1673,Vida,Autos,0,1,0,0,0,0
2381,428,Autos,Vida,0,0,1,0,0,0
2381,1465,Vida,Salud,0,1,1,0,0,0
2384,1330,Salud,Vida,1,0,0,0,0,0
2386,19915,Vida,Salud,0,1,0,0,0,0
2387,1424,Vida,Patrimoniales,0,1,0,0,0,0
2393,1843,Vida,Autos,0,1,0,0,0,0
2402,13246,Cumplimiento,Vida,0,0,0,1,0,0
2402,1654,Vida,Salud,0,1,0,1,0,0
2423,1658,Vida,Salud,0,1,0,0,0,0
2424,1788,Vida,Patrimoniales,0,1,0,0,0,0
2425,1770,Vida,Salud,0,1,0,0,0,0
2426,2234,Vida,Salud,0,1,0,0,0,0
2442,1382,Vida,Patrimoniales,0,1,0,0,0,0
2442,997,Patrimoniales,Salud,0,1,0,0,1,0
2444,1516,Vida,Salud,0,1,0,0,0,0
2451,16205,Autos,Vida,0,0,1,0,0,0
2455,2253,Vida,Salud,0,1,0,0,0,0
2458,368,Autos,Cumplimiento,0,0,1,0,0,0
2459,525,Autos,Vida,0,0,1,0,0,0
2462,2474,Autos,Vida,0,0,1,0,0,0
2466,1787,Vida,Salud,0,1,0,0,0,0
2481,16204,Autos,Vida,0,0,1,0,0,0
2483,53477,Vida,Autos,0,1,0,0,0,0
2494,2062,Vida,Salud,0,1,0,0,0,0
2497,1827,Vida,Salud,0,1,0,0,0,0
2497,2338,Salud,Autos,1,1,0,0,0,0
2499,1570,Vida,Salud,0,1,0,0,0,0
2504,2289,Vida,Salud,0,1,0,0,0,0
2518,418,Autos,Vida,0,0,1,0,0,0
2559,13373,Patrimoniales,Salud,0,0,0,0,1,0
2572,19950,Salud,Autos,1,0,0,0,0,0
2597,2462,Patrimoniales,Salud,0,0,0,0,1,0
2635,16607,Vida,Autos,0,1,0,0,0,0
2647,62941,Patrimoniales,Vida,0,0,0,0,1,0
2668,108319,Salud,Patrimoniales,1,0,0,0,0,0
2668,2488,Patrimoniales,Vida,1,0,0,0,1,0
2679,2471,Autos,Vida,0,0,1,0,0,0
2702,209156,Patrimoniales,Autos,0,0,0,0,1,0
2702,212304,Autos,Vida,0,0,1,0,1,0
2731,19917,Salud,Autos,1,0,0,0,0,0
2731,97498,Autos,Vida,1,0,1,0,0,0
2731,100723,Vida,Patrimoniales,1,1,1,0,0,0
2747,59936,Autos,Salud,0,0,1,0,0,0
2811,2873,Vida,Salud,0,1,0,0,0,0
2819,3073,Autos,Patrimoniales,0,0,1,0,0,0
2820,3366,Patrimoniales,Cumplimiento,0,0,0,0,1,0
2820,46283,Cumplimiento,Vida,0,0,0,1,1,0
2822,3405,Patrimoniales,Autos,0,0,0,0,1,0
2822,126012,Autos,Vida,0,0,1,0,1,0
2822,3911,Vida,Salud,0,1,1,0,1,0
2826,3245,Cumplimiento,Patrimoniales,0,0,0,1,0,0
2828,125955,Autos,Patrimoniales,0,0,1,0,0,0
2828,3370,Patrimoniales,Vida,0,0,1,0,1,0
2831,3186,Cumplimiento,Patrimoniales,0,0,0,1,0,0
2834,3324,Patrimoniales,Autos,0,0,0,0,1,0
2835,3087,Autos,Patrimoniales,0,0,1,0,0,0
2840,3352,Patrimoniales,Autos,0,0,0,0,1,0
2842,3002,Autos,Salud,0,0,1,0,0,0
2842,16226,Salud,Patrimoniales,1,0,1,0,0,0
2846,3176,Cumplimiento,Patrimoniales,0,0,0,1,0,0
2848,126014,Cumplimiento,Patrimoniales,0,0,0,1,0,0
2849,3202,Cumplimiento,Patrimoniales,0,0,0,1,0,0
2850,100810,Salud,Patrimoniales,1,0,0,0,0,0
2852,3919,Vida,Salud,0,1,0,0,0,0
2852,3817,Salud,Patrimoniales,1,1,0,0,0,0
2854,3880,Vida,Patrimoniales,0,1,0,0,0,0
2854,3363,Patrimoniales,Salud,0,1,0,0,1,0
2861,15867,Cumplimiento,Patrimoniales,0,0,0,1,0,0
2861,15866,Patrimoniales,Autos,0,0,0,1,1,0
2861,2888,Autos,Vida,0,0,1,1,1,0
2870,3750,Salud,Patrimoniales,1,0,0,0,0,0
2875,3240,Cumplimiento,Vida,0,0,0,1,0,0
2875,4429,Vida,Salud,0,1,0,1,0,0
2877,4450,Vida,Patrimoniales,0,1,0,0,0,0
2884,3745,Salud,Patrimoniales,1,0,0,0,0,0
2887,3877,Vida,Patrimoniales,0,1,0,0,0,0
2892,3051,Autos,Patrimoniales,0,0,1,0,0,0
2896,3676,Salud,Patrimoniales,1,0,0,0,0,0
2928,3454,Salud,Vida,1,0,0,0,0,0
2930,4194,Vida,Autos,0,1,0,0,0,0
2942,102633,Vida,Salud,0,1,0,0,0,0
2944,4018,Vida,Salud,0,1,0,0,0,0
2949,100244,Autos,Vida,0,0,1,0,0,0
2950,3371,Patrimoniales,Salud,0,0,0,0,1,0
2950,3749,Salud,Vida,1,0,0,0,1,0
2952,3449,Patrimoniales,Autos,0,0,0,0,1,0
2953,80774,Autos,Salud,0,0,1,0,0,0
2959,2953,Autos,Salud,0,0,1,0,0,0
2960,158717,Autos,Vida,0,0,1,0,0,0
2961,4362,Vida,Salud,0,1,0,0,0,0
2969,3909,Vida,Salud,0,1,0,0,0,0
2971,152087,Autos,Salud,0,0,1,0,0,0
2972,4405,Vida,Autos,0,1,0,0,0,0
2979,4166,Vida,Autos,0,1,0,0,0,0
2981,4267,Vida,Salud,0,1,0,0,0,0
2985,4299,Vida,Autos,0,1,0,0,0,0
2985,125966,Autos,Salud,0,1,1,0,0,0
2994,3613,Salud,Vida,1,0,0,0,0,0
2996,3727,Salud,Vida,1,0,0,0,0,0
3004,3768,Salud,Autos,1,0,0,0,0,0
3006,3913,Vida,Patrimoniales,0,1,0,0,0,0
3013,4173,Vida,Salud,0,1,0,0,0,0
3014,80753,Autos,Salud,0,0,1,0,0,0
3016,80699,Autos,Vida,0,0,1,0,0,0
3017,4202,Vida,Salud,0,1,0,0,0,0
3018,3572,Salud,Vida,1,0,0,0,0,0
3025,3703,Salud,Autos,1,0,0,0,0,0
3030,185480,Salud,Autos,1,0,0,0,0,0
3035,3612,Salud,Autos,1,0,0,0,0,0
3037,29330,Salud,Vida,1,0,0,0,0,0
3041,3726,Salud,Vida,1,0,0,0,0,0
3042,4121,Vida,Salud,0,1,0,0,0,0
3042,3733,Salud,Autos,1,1,0,0,0,0
3044,3698,Salud,Vida,1,0,0,0,0,0
3057,33763,Salud,Autos,1,0,0,0,0,0
3057,179787,Autos,Vida,1,0,1,0,0,0
3062,158606,Autos,Salud,0,0,1,0,0,0
3062,3689,Salud,Vida,1,0,1,0,0,0
3063,4192,Vida,Patrimoniales,0,1,0,0,0,0
3063,3375,Patrimoniales,Salud,0,1,0,0,1,0
3066,3526,Salud,Autos,1,0,0,0,0,0
3068,201642,Vida,Autos,0,1,0,0,0,0
3071,4357,Vida,Salud,0,1,0,0,0,0
3072,3687,Salud,Vida,1,0,0,0,0,0
3073,3477,Salud,Vida,1,0,0,0,0,0
3081,3699,Salud,Cumplimiento,1,0,0,0,0,0
3082,3824,Vida,Salud,0,1,0,0,0,0
3083,126172,Autos,Vida,0,0,1,0,0,0
3083,4468,Vida,Salud,0,1,1,0,0,0
3084,3860,Vida,Salud,0,1,0,0,0,0
3084,22816,Salud,Autos,1,1,0,0,0,0
3094,3353,Patrimoniales,Vida,0,0,0,0,1,0
3096,126110,Autos,Salud,0,0,1,0,0,0
3097,158672,Autos,Vida,0,0,1,0,0,0
3097,3948,Vida,Salud,0,1,1,0,0,0
3099,158610,Autos,Salud,0,0,1,0,0,0
3100,3756,Salud,Autos,1,0,0,0,0,0
3101,158666,Autos,Salud,0,0,1,0,0,0
3104,3844,Vida,Autos,0,1,0,0,0,0
3104,3105,Autos,Salud,0,1,1,0,0,0
3108,3544,Salud,Vida,1,0,0,0,0,0
3109,4108,Vida,Salud,0,1,0,0,0,0
3110,126035,Autos,Patrimoniales,0,0,1,0,0,0
3110,3355,Patrimoniales,Vida,0,0,1,0,1,0
3116,4463,Vida,Salud,0,1,0,0,0,0
3116,156357,Salud,Autos,1,1,0,0,0,0
3120,141441,Vida,Salud,0,1,0,0,0,0
3121,3456,Salud,Vida,1,0,0,0,0,0
3123,3597,Salud,Autos,1,0,0,0,0,0
3126,80746,Autos,Salud,0,0,1,0,0,0
3136,3859,Vida,Salud,0,1,0,0,0,0
3140,3514,Salud,Autos,1,0,0,0,0,0
3147,4232,Vida,Autos,0,1,0,0,0,0
3150,3739,Salud,Autos,1,0,0,0,0,0
3151,3775,Salud,Vida,1,0,0,0,0,0
3151,4284,Vida,Autos,1,1,0,0,0,0
3153,4030,Vida,Autos,0,1,0,0,0,0
3153,80749,Autos,Salud,0,1,1,0,0,0
3154,3854,Vida,Autos,0,1,0,0,0,0
3157,4355,Vida,Salud,0,1,0,0,0,0
3159,80627,Autos,Vida,0,0,1,0,0,0
3160,200562,Vida,Patrimoniales,0,1,0,0,0,0
3161,4035,Vida,Salud,0,1,0,0,0,0
3165,3599,Salud,Vida,1,0,0,0,0,0
3169,3600,Salud,Vida,1,0,0,0,0,0
3175,126147,Autos,Salud,0,0,1,0,0,0
3177,130927,Autos,Vida,0,0,1,0,0,0
3182,3937,Vida,Salud,0,1,0,0,0,0
3182,3637,Salud,Autos,1,1,0,0,0,0
3183,3557,Salud,Vida,1,0,0,0,0,0
3185,4027,Vida,Salud,0,1,0,0,0,0
3186,3915,Vida,Autos,0,1,0,0,0,0
3186,126039,Autos,Salud,0,1,1,0,0,0
3187,3870,Vida,Salud,0,1,0,0,0,0
3188,4235,Vida,Autos,0,1,0,0,0,0
3188,173346,Autos,Salud,0,1,1,0,0,0
3196,3846,Vida,Autos,0,1,0,0,0,0
3199,3380,Patrimoniales,Vida,0,0,0,0,1,0
3199,4109,Vida,Salud,0,1,0,0,1,0
3205,169729,Autos,Vida,0,0,1,0,0,0
3209,3834,Vida,Patrimoniales,0,1,0,0,0,0
3209,3360,Patrimoniales,Salud,0,1,0,0,1,0
3217,124990,Vida,Salud,0,1,0,0,0,0
3227,21390,Salud,Vida,1,0,0,0,0,0
3233,156273,Vida,Autos,0,1,0,0,0,0
3239,5520,Vida,Salud,0,1,0,0,0,0
3240,214623,Vida,Salud,0,1,0,0,0,0
3241,4741,Patrimoniales,Salud,0,0,0,0,1,0
3242,187985,Salud,Vida,1,0,0,0,0,0
3246,3527,Salud,Autos,1,0,0,0,0,0
3246,161278,Autos,Vida,1,0,1,0,0,0
3248,80767,Autos,Vida,0,0,1,0,0,0
3250,72634,Vida,Salud,0,1,0,0,0,0
3253,130929,Salud,Vida,1,0,0,0,0,0
3258,3463,Salud,Autos,1,0,0,0,0,0
3261,3883,Vida,Autos,0,1,0,0,0,0
3261,126156,Autos,Salud,0,1,1,0,0,0
3263,2939,Autos,Salud,0,0,1,0,0,0
3263,3517,Salud,Vida,1,0,1,0,0,0
3266,4410,Vida,Patrimoniales,0,1,0,0,0,0
3275,126154,Autos,Vida,0,0,1,0,0,0
3291,4324,Vida,Salud,0,1,0,0,0,0
3291,3782,Salud,Autos,1,1,0,0,0,0
3296,4417,Vida,Patrimoniales,0,1,0,0,0,0
3306,13253,Patrimoniales,Salud,0,0,0,0,1,0
3308,3452,Salud,Vida,1,0,0,0,0,0
3309,3857,Vida,Autos,0,1,0,0,0,0
3309,3049,Autos,Salud,0,1,1,0,0,0
3314,3510,Salud,Vida,1,0,0,0,0,0
3314,4093,Vida,Patrimoniales,1,1,0,0,0,0
3316,3437,Salud,Patrimoniales,1,0,0,0,0,0
3322,3929,Vida,Salud,0,1,0,0,0,0
3330,164117,Vida,Salud,0,1,0,0,0,0
3332,60071,Salud,Autos,1,0,0,0,0,0
3333,3967,Vida,Salud,0,1,0,0,0,0
3335,80675,Autos,Salud,0,0,1,0,0,0
3342,3482,Salud,Autos,1,0,0,0,0,0
3350,4425,Vida,Autos,0,1,0,0,0,0
3352,126144,Autos,Vida,0,0,1,0,0,0
3355,3968,Vida,Salud,0,1,0,0,0,0
3358,158716,Autos,Vida,0,0,1,0,0,0
3362,3935,Vida,Autos,0,1,0,0,0,0
3363,3700,Salud,Autos,1,0,0,0,0,0
3369,3928,Vida,Autos,0,1,0,0,0,0
3370,3013,Autos,Vida,0,0,1,0,0,0
3373,4112,Vida,Salud,0,1,0,0,0,0
3377,2924,Autos,Vida,0,0,1,0,0,0
3382,220628,Autos,Vida,0,0,1,0,0,0
3389,80881,Autos,Salud,0,0,1,0,0,0
3389,3667,Salud,Vida,1,0,1,0,0,0
3391,4052,Vida,Patrimoniales,0,1,0,0,0,0
3393,80827,Autos,Salud,0,0,1,0,0,0
3396,3875,Vida,Salud,0,1,0,0,0,0
3401,3716,Salud,Autos,1,0,0,0,0,0
3402,4042,Vida,Salud,0,1,0,0,0,0
3402,3704,Salud,Autos,1,1,0,0,0,0
3403,126094,Autos,Salud,0,0,1,0,0,0
3403,3785,Salud,Vida,1,0,1,0,0,0
3407,4139,Vida,Salud,0,1,0,0,0,0
3410,4435,Vida,Autos,0,1,0,0,0,0
3410,3056,Autos,Salud,0,1,1,0,0,0
3411,3994,Vida,Patrimoniales,0,1,0,0,0,0
3412,4125,Vida,Salud,0,1,0,0,0,0
3413,4131,Vida,Salud,0,1,0,0,0,0
3420,158697,Autos,Vida,0,0,1,0,0,0
3423,3681,Salud,Vida,1,0,0,0,0,0
3423,4383,Vida,Autos,1,1,0,0,0,0
3428,3453,Salud,Vida,1,0,0,0,0,0
3431,26380,Autos,Salud,0,0,1,0,0,0
3448,4313,Vida,Salud,0,1,0,0,0,0
3450,3084,Autos,Vida,0,0,1,0,0,0
3461,4008,Vida,Salud,0,1,0,0,0,0
3464,126045,Autos,Vida,0,0,1,0,0,0
3464,3944,Vida,Salud,0,1,1,0,0,0
3466,4138,Vida,Patrimoniales,0,1,0,0,0,0
3466,59614,Patrimoniales,Autos,0,1,0,0,1,0
3466,94886,Autos,Salud,0,1,1,0,1,0
3467,3889,Vida,Autos,0,1,0,0,0,0
3469,4082,Vida,Autos,0,1,0,0,0,0
3471,3539,Salud,Autos,1,0,0,0,0,0
3477,4045,Vida,Salud,0,1,0,0,0,0
3485,3641,Salud,Vida,1,0,0,0,0,0
3489,4241,Vida,Autos,0,1,0,0,0,0
3491,3664,Salud,Vida,1,0,0,0,0,0
3494,92029,Autos,Salud,0,0,1,0,0,0
3495,4159,Vida,Autos,0,1,0,0,0,0
3495,2934,Autos,Salud,0,1,1,0,0,0
3496,4264,Vida,Autos,0,1,0,0,0,0
3496,169731,Autos,Salud,0,1,1,0,0,0
3500,2956,Autos,Salud,0,0,1,0,0,0
3500,3561,Salud,Vida,1,0,1,0,0,0
3501,4393,Vida,Salud,0,1,0,0,0,0
3522,3807,Salud,Autos,1,0,0,0,0,0
3522,196805,Autos,Vida,1,0,1,0,0,0
3523,3806,Vida,Patrimoniales,0,1,0,0,0,0
3531,158636,Autos,Vida,0,0,1,0,0,0
3532,4379,Vida,Autos,0,1,0,0,0,0
3535,4473,Salud,Autos,1,0,0,0,0,0
3536,2971,Autos,Vida,0,0,1,0,0,0
3555,3476,Salud,Autos,1,0,0,0,0,0
3559,3315,Patrimoniales,Salud,0,0,0,0,1,0
3565,4329,Vida,Salud,0,1,0,0,0,0
3566,2941,Autos,Vida,0,0,1,0,0,0
3567,3385,Patrimoniales,Vida,0,0,0,0,1,0
3567,4381,Vida,Salud,0,1,0,0,1,0
3569,3488,Salud,Vida,1,0,0,0,0,0
3570,3450,Salud,Vida,1,0,0,0,0,0
3571,80789,Autos,Salud,0,0,1,0,0,0
3572,3965,Vida,Salud,0,1,0,0,0,0
3572,3382,Salud,Autos,1,1,0,0,0,0
3574,4242,Vida,Autos,0,1,0,0,0,0
3577,3851,Vida,Autos,0,1,0,0,0,0
3581,4007,Vida,Patrimoniales,0,1,0,0,0,0
3581,3374,Patrimoniales,Autos,0,1,0,0,1,0
3581,97567,Autos,Salud,0,1,1,0,1,0
3582,4281,Vida,Salud,0,1,0,0,0,0
3586,3872,Vida,Salud,0,1,0,0,0,0
3600,4229,Vida,Salud,0,1,0,0,0,0
3601,4152,Vida,Patrimoniales,0,1,0,0,0,0
3601,3402,Patrimoniales,Salud,0,1,0,0,1,0
